Date,Score,Score +-,IP,ROX,R,ER,PA,AB,H,2B,3B,HR,BB,IBB,HBP,SO,PITCH,WHIP,AVR,OBP,OPS,ERA,avLI,RE24,WPA,GSC,DEC,TERM
08-05,W 6:4,2,1,0,0,0,3,3,0,0,0,0,0,0,0,3,12,2.13,0.385,0,0,9,1.19,0.56,0.091,0,1,4
08-07,W 5:2,3,1,0,0,0,5,3,0,0,0,0,2,0,0,1,24,2.11,0.357,0.4,0.4,8,1.53,0.56,0.041,0,1,2
08-13,W 4:2,2,1.1,0,0,0,4,4,0,0,0,0,0,0,0,3,20,1.84,0.326,0,0,6.97,1.56,0.94,0.166,0,1,6
08-16,W 6:5,1,1.1,0,0,0,4,4,0,0,0,0,0,0,0,2,22,1.63,0.3,0,0,6.17,2.29,0.67,0.232,0,1,3
08-20,L 5:6,-1,0.1,0,0,0,3,2,1,0,0,0,1,0,0,0,12,1.75,0.308,0.667,1.167,6,4.67,-1.46,-0.533,-1,0,4
08-26,W 8:5,3,1,0,0,0,3,3,0,0,0,0,0,0,0,0,11,1.62,0.291,0,0,5.54,0.53,0.56,0.041,0,1,6
08-27,W 2:0,2,1.2,0,0,0,6,5,0,0,0,0,1,0,0,2,24,1.5,0.267,0.167,0.167,4.91,2.71,2.21,0.332,0,1,1
08-29,D 5:5,0,1,0,0,0,3,3,0,0,0,0,0,0,0,0,12,1.4,0.254,0,0,4.6,1.81,0.56,0.137,0,0,2
08-30,W 4:1,3,1.1,0,0,0,4,4,0,0,0,0,0,0,0,2,13,1.29,0.239,0,0,4.24,1.02,1.09,0.11,0,1,1
09-03,W 6:5,1,1,0,0,0,4,3,0,0,0,0,1,0,0,3,21,1.28,0.229,0.25,0.25,4,3.54,0.56,0.162,0,1,4
09-04,D 5:5,0,1.2,0,0,0,7,7,2,0,0,0,0,0,0,2,28,1.27,0.234,0.286,0.571,3.66,2.44,0.85,0.216,0,0,1
09-12,L 1:5,3,0.1,1,1,1,4,4,3,0,0,0,0,0,0,0,11,1.4,0.259,0.75,1.5,4.05,0.14,-1.17,-0.021,0,0,8
09-15,L 5:6,0,1,1,1,1,7,4,1,0,0,0,2,0,1,2,29,1.48,0.259,0.571,0.821,4.29,3.41,-1.14,-0.328,0,-1,3
09-19,W 9:6,3,1,0,0,0,5,5,2,0,0,0,0,0,0,2,21,1.5,0.267,0.4,0.8,4.09,0.75,0.56,0.041,0,1,4
09-20,L 5:6,0,1.1,1,1,1,6,4,1,0,0,0,2,0,0,0,29,1.54,0.266,0.5,0.75,4.24,3.32,-0.05,-0.308,-1,-1,1
09-22,W 7:2,3,1.1,0,0,0,4,4,0,0,0,0,0,0,0,3,17,1.46,0.255,0,0,4.01,0.21,0.81,0.024,0,1,2
09-26,W 3:1,2,1,0,0,0,3,3,0,0,0,0,0,0,0,1,20,1.4,0.248,0,0,3.86,1.19,0.56,0.091,0,1,4
09-27,L 4:5,1,0.1,1,2,1,5,3,2,0,0,0,1,0,0,1,19,1.5,0.26,0.75,1.417,4.15,2.81,-2.77,-0.732,-1,-1,1
09-30,W 5:3,2,1,0,0,0,3,3,0,0,0,0,0,0,0,1,16,1.44,0.252,0,0,4,0.96,0.56,0.074,0,1,3
10-04,W 13:8,2,1.2,0,0,0,5,5,0,0,0,0,0,0,0,2,17,1.36,0.241,0,0,3.77,1.53,1.53,0.185,0,1,4
10-06,L 2:3,1,1,1,1,1,6,2,0,0,0,0,3,0,0,2,34,1.42,0.237,0.5,0.5,3.94,4.91,-0.45,-0.201,-1,0,2
10-07,W 3:1,2,1,0,0,0,3,3,0,0,0,0,0,0,0,1,11,1.37,0.231,0,0,3.82,0.96,0.56,0.074,0,1,1
10-10,W 9:5,4,1,0,0,0,3,3,0,0,0,0,0,0,0,1,8,1.33,0.225,0,0,3.69,0.18,0.56,0.014,0,0,3
10-11,W 7:3,4,1,0,0,0,4,4,1,0,0,0,0,0,0,0,13,1.32,0.226,0.25,0.5,3.58,0.16,0.56,0.014,0,0,1
10-15,W 6:2,3,1.1,0,0,0,4,4,0,0,0,0,0,0,0,2,13,1.26,0.219,0,0,3.44,0.36,0.81,0.04,0,1,4
10-17,W 11:8,5,0.2,1,1,1,6,5,3,1,0,0,1,0,0,1,28,1.36,0.233,0.667,1.467,3.63,1.84,-1.43,0.006,0,0,2
10-20,W 7:6,5,1,1,4,4,7,6,3,1,0,1,1,0,0,3,30,1.43,0.245,0.571,1.738,4.54,0.51,-3.45,0.008,0,0,3
10-23,W 8:4,4,1,0,0,0,3,3,0,0,0,0,0,0,0,2,13,1.39,0.239,0,0,4.42,0.24,0.56,0.018,0,0,3
10-24,D 3:3,0,1.2,0,0,0,6,5,0,0,0,0,1,0,0,1,16,1.36,0.231,0.167,0.167,4.23,1.81,0.86,0.211,0,0,1
10-28,L 6:7,0,3,1,1,1,11,9,2,0,0,0,1,1,0,4,27,1.33,0.231,0.3,0.522,4.14,2.77,1.06,0.056,0,-1,4
10-30,L 2:3,-1,0.1,0,0,0,2,2,1,1,0,0,0,0,0,0,4,1.34,0.234,0.5,1.5,4.1,0.24,0.12,0.003,0,0,2
11-02,W 4:3,1,1.2,0,0,0,9,5,1,0,0,0,2,0,1,2,40,1.8,0.2,0.5,0.7,0,3.1,0.3,0.103,0,0,3
11-05,L 7:9,-1,1.2,1,1,0,7,4,0,0,0,0,1,0,0,2,26,0.6,0,0.2,0.2,0,0.74,0.13,-0.018,0,0,3
