BWAR,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,IBB,SO,DP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,BWPA,RANK,PWAR,W,L,WP,SV,HLD,IP,R_P,ER_P,H_P,2B_P,3B_P,HR_P,BB_P,IBB_P,HBP_P,SO_P,BK,WP,ERA,FIP,WHIP,ERA+,FIP+,PWPA,TWAR,TWPA
37.57,944,1601,284,30,191,898,96,23,496,92,16,1016,112,43,63,0.309,0.376,0.486,0.862,0.372,119.8,26.13,100,19.58,93,51,64.58,41,56,1288.2,756,716,1401,266,16,154,476,17,109,1025,2,72,5,5.12,1.46,101.1,98.4,-5.12,57.15,21.01
34.81,935,1504,284,25,183,877,85,45,600,86,11,884,121,43,68,0.298,0.378,0.473,0.851,0.379,116.8,23.69,100,24.93,93,50,65.03,36,55,1287.2,682,638,1385,246,30,136,498,7,77,982,4,66,4.46,4.96,1.46,114.6,101,-2.18,59.74,21.51
34.75,849,1499,270,20,178,812,69,33,541,95,19,960,120,48,47,0.294,0.369,0.459,0.828,0.364,116.5,17.72,90,21.48,84,57,59.57,35,46,1288,678,627,1405,234,31,125,464,11,87,956,4,54,4.38,4.77,1.45,109.9,101.2,-3.94,56.23,13.78
33.76,897,1515,259,25,176,850,157,52,581,70,21,930,109,76,57,0.302,0.378,0.469,0.847,0.373,115.3,19.23,100,14.06,88,56,61.11,34,60,1275.1,716,666,1323,270,17,182,423,11,64,1194,2,44,4.7,4.72,1.37,105.1,104.2,-3.49,47.82,15.74
33.72,841,1323,275,31,199,786,100,44,523,101,10,849,100,65,40,0.298,0.382,0.509,0.891,0.388,115.7,20.41,90,21.94,78,48,61.9,35,55,1131.2,716,668,1299,231,18,142,516,2,61,901,4,55,5.31,5.42,1.6,99.2,98.8,-5.37,55.66,15.04
32.83,780,1405,252,37,112,741,110,33,514,69,13,943,122,36,48,0.282,0.354,0.414,0.768,0.352,114.2,9.03,80,22.07,86,57,60.13,39,90,1279,572,512,1293,244,24,61,371,3,58,984,6,45,3.6,3.48,1.3,114.6,118.6,5.42,54.9,14.45
32.64,888,1483,258,28,187,845,101,38,529,104,21,997,106,46,51,0.291,0.366,0.462,0.828,0.37,113.9,17.79,100,19.18,83,55,60.14,31,88,1296.2,714,661,1292,199,15,153,547,10,79,1049,7,65,4.59,4.9,1.42,106.6,98.8,-3.39,51.82,14.4
31.63,904,1512,304,20,203,855,100,47,544,82,18,1098,112,61,55,0.298,0.372,0.486,0.858,0.376,115.4,19.1,70,17.54,78,65,54.54,29,44,1286,790,707,1404,236,28,146,518,7,81,1066,4,85,4.95,4.81,1.5,100.6,103.2,-12.81,49.17,6.29
31.61,807,1436,254,22,140,770,111,47,567,99,24,820,139,75,60,0.29,0.37,0.435,0.804,0.358,112.1,14.48,80,14.37,79,65,54.86,30,57,1286,776,719,1385,248,22,138,584,15,77,1064,11,75,5.03,4.86,1.53,93.2,96,-7.41,45.98,7.07
31.43,816,1476,263,20,125,776,88,37,552,67,20,796,132,38,73,0.293,0.365,0.427,0.792,0.359,114.2,13.49,80,20.62,78,61,56.11,23,43,1284.2,695,628,1393,258,25,109,477,22,61,1046,4,52,4.4,4.24,1.46,105.2,109.1,-4.68,52.05,8.81
31.23,906,1554,292,29,170,868,76,34,499,89,19,891,118,55,56,0.302,0.37,0.469,0.84,0.367,113.1,20.61,100,19.33,87,56,60.83,33,46,1290,743,691,1518,255,21,137,434,22,77,985,4,69,4.82,4.73,1.51,103.1,105.5,-5.01,50.56,15.6
30.27,844,1437,283,28,161,802,204,60,536,106,24,1023,105,64,53,0.289,0.367,0.455,0.822,0.363,110.9,13.28,90,21.59,84,57,59.57,37,55,1279.1,655,606,1283,221,17,149,436,13,113,1057,3,60,4.26,4.73,1.34,112.4,103.1,0.22,51.86,13.5
29.92,812,1345,238,23,161,763,161,46,507,62,11,743,88,76,43,0.301,0.377,0.473,0.85,0.374,107.9,20.5,100,28.7,78,47,62.4,35,65,1144,621,583,1217,257,23,120,395,11,61,996,3,51,4.59,4.65,1.41,115.3,113.6,-4.68,58.62,15.82
28.87,857,1457,249,19,169,808,99,41,609,93,18,1023,133,70,52,0.291,0.375,0.45,0.824,0.369,108.6,16.13,90,25.78,83,58,58.86,36,62,1286.1,690,642,1314,208,18,137,516,2,86,1147,7,84,4.49,4.79,1.42,113.3,107.4,-3.7,54.65,12.43
28.28,736,1364,235,31,84,692,102,38,562,73,16,799,117,39,83,0.278,0.355,0.389,0.745,0.344,109.9,6.12,100,23.46,88,55,61.53,44,69,1283.2,550,501,1259,231,22,78,380,22,70,860,5,49,3.51,3.85,1.28,116.4,105.9,10.43,51.74,16.55
